id,name,region,terrain_id,flavour_text
0,Star City,0,,The only city on Star Island. It was only built in recent years in response to the ever-growing popularity of the monster races.
1,Superstar GP,0,0,
2,Star Cup,0,0,A tournament for beginner monster racers. This is the first step on the road to becoming a world famous racer.
3,Native Cup,0,10,"A tournament in which only monsters from the home of monster racing, Star Island, are allowed to enter."
4,Breeders' Trophy,0,4,A specialized tournament only open to entry from monsters who have been bred by Dr. Franz N. Stein.
5,Oceania GP,1,9,The largest and most important monster racing tournament in Oceania. A member of the Star Seven is defending champion.
6,Australian Open,1,2,"A major tournament in Australia. Any monsters are eligible to compete, and the winner gains entry to the Oceania Grand Prix."
7,New Zealand Cup,1,4,A tournament held in front of the beautiful mountain ranges of New Zealand. Only monsters from Oceania are eligible to enter.
8,Fiji Trophy,1,1,"A specialized tournament held in tropical Fiji, and only open to entry from exotic versions of monsters."
9,Asian GP,2,3,The largest and most important monster racing tournament in Asia. A member of the Star Seven is defending champion.
10,Chinese Open,2,7,"A major tournament in China. Any monsters are eligible to compete, and the winner gains entry to the Asian Grand Prix."
11,India Cup,2,2,A tournament held on the rocky terrain of India. Only monsters from Asia are eligible to enter.
12,Brunei Trophy,2,6,"A specialized tournament held in Brunei, in which entry is restricted to monsters below a certain size."
13,Eurasian GP,3,11,The largest and most important monster racing tournament in Eurasia. A member of the Star Seven is defending champion.
14,Russian Open,3,11,"A major tournament in Russia. Any monsters are eligible to compete, and the winner gains entry to the Eurasian Grand Prix."
15,Ukraine Cup,3,11,A tournament held in the snowy wilderness of the Ukraine. Only monsters from Eurasia are eligible to enter.
16,Belarus Trophy,3,0,A specialized tournament held in Belarus. Only cute monsters are allowed to enter - which creates some controversy.
17,African GP,4,5,The largest and most important monster racing tournament in Africa. A member of the Star Seven is defending champion.
18,Nigerian Open,4,5,"A major tournament in Nigeria. Any monsters are eligible to compete, and the winner gains entry to the African Grand Prix."
19,Ethiopia Cup,4,0,A tournament held in the blistering heat of Ethiopia. Only monsters from Africa are eligible to enter.
20,Madagascar Trophy,4,2,A specialized tournament held in Madagascar. Only monsters considered weird-looking are allowed to enter.
21,North American GP,5,2,The most significant monster racing tournament in North America. A member of the Star Seven is defending champion.
